Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Su Mudaerji,Zarrukh Adashev,-400,300,25,300,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,0,Southpaw,165.1,165.1,125,2,Southpaw,172.72,182.88,125,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalcha Lungiambula,Markus Perez,-143,115,69.93006993,115,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,2,Orthodox,185.42,185.42,185,1,Orthodox,172.72,193.04,185,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Figueiredo,Jerome Rivera,-155,125,64.51612903,125,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,1,Southpaw,177.8,182.88,135,0,Southpaw,167.64,175.26,135,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Davis,Mason Jones,-175,135,57.14285714,135,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,0,Orthodox,177.8,177.8,155,1,Orthodox,182.88,182.88,145,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umar Nurmagomedov,Sergey Morozov,-530,375,18.86792453,375,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,Orthodox,167.64,167.64,135,0,Orthodox,172.72,172.72,135,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria Leonardo,Manon Fiorot,170,-215,170,46.51162791,1/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,0,Orthodox,170.18,170.18,125,1,Orthodox,165.1,162.56,125,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Holloway,Calvin Kattar,-162,138,61.72839506,138,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,5,6,Orthodox,180.34,182.88,145,17,Orthodox,180.34,175.26,145,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Condit,Matt Brown,-177,145,56.49717514,145,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,15,Orthodox,182.88,190.5,170,13,Orthodox,187.96,190.5,170,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago Ponzinibbio,Li Jingliang,-305,240,32.78688525,240,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,9,Orthodox,182.88,180.34,170,9,Orthodox,182.88,185.42,170,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joaquin Buckley,Alessio Di Chirico,-278,215,35.97122302,215,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Middleweight,MALE,3,3,Orthodox,182.88,187.96,185,2,Southpaw,177.8,193.04,185,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punahele Soriano,Dusko Todorovic,130,-159,130,62.89308176,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,2,Orthodox,185.42,187.96,185,2,Southpaw,180.34,182.88,185,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wu Yanan,Joselyne Edwards,-110,-110,90.90909091,90.90909091,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Bantamweight,FEMALE,3,0,Orthodox,172.72,177.8,135,1,Orthodox,172.72,167.64,125,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Felipe,Justin Tafa,-190,155,52.63157895,155,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Heavyweight,MALE,3,1,Southpaw,182.88,187.96,264,1,Orthodox,182.88,190.5,245,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Zawada,Ramazan Emeev,210,-275,210,36.36363636,1/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Welterweight,MALE,3,4,Southpaw,177.8,193.04,170,1,Orthodox,182.88,190.5,170,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
