Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Jocelyn Jones-Lybarger,Nina Ansaroff,135,-175,135,57.14285714,1/15/17,"Phoenix, Arizona, USA", USA,Blue,Women's Strawweight,FEMALE,3,0,Orthodox,165.1,162.56,115,0,Orthodox,170.18,162.56,115,31,31,0,0,0,0,0,0,21,48,0.28,0.45,33,89,86,155,0,1,0,1,0,0,5
Walt Harris,Chase Sherman,-155,135,64.51612903,135,1/15/17,"Phoenix, Arizona, USA", USA,Red,Heavyweight,MALE,3,0,Orthodox,193.04,198.12,250,1,Southpaw,195.58,195.58,250,33,27,0,0,0,0,1,0,32,20,0.43,0.31,33,20,74,63,0,0,0,0,0,0,0
Bojan Mihajlovic,Joachim Christensen,210,-250,210,40,1/15/17,"Phoenix, Arizona, USA", USA,Blue,Light Heavyweight,MALE,3,0,Orthodox,190.5,193.04,205,0,Orthodox,180.34,185.42,205,36,38,0,0,0,0,0,1,22,41,0.4,0.43,31,139,65,199,0,0,0,0,0,0,0
Dmitrii Smoliakov,Cyril Asker,100,-120,100,83.33333333,1/15/17,"Phoenix, Arizona, USA", USA,Blue,Heavyweight,MALE,3,0,Orthodox,182.88,187.96,247,0,Switch,187.96,187.96,253,34,31,0,0,0,0,0,0,5,19,0.5,0.4,28,39,35,90,0,1,0,1,0,0,2
Amanda Nunes,Ronda Rousey,165,-190,165,52.63157895,12/30/16,"Las Vegas, Nevada, USA", USA,Red,Women's Bantamweight,FEMALE,5,6,Orthodox,170.18,172.72,135,6,Orthodox,172.72,175.26,145,28,29,0,1,0,0,0,0,27,7,0.57,0.5,27,7,47,14,0,0,0,0,0,0,0
Dominick Cruz,Cody Garbrandt,-245,205,40.81632653,205,12/30/16,"Las Vegas, Nevada, USA", USA,Blue,Bantamweight,MALE,5,5,Orthodox,172.72,165.1,135,5,Orthodox,172.72,172.72,135,31,25,0,0,0,0,0,2,88,68,0.3,0.34,95,71,298,198,0,1,0,0.25,0,0,0
TJ Dillashaw,John Lineker,-230,190,43.47826087,190,12/30/16,"Las Vegas, Nevada, USA", USA,Red,Bantamweight,MALE,3,10,Orthodox,160.02,170.18,135,9,Orthodox,167.64,170.18,125,30,26,0,0,0,0,0,0,71,38,0.59,0.42,177,51,249,107,5,1,0.83,0.5,1,8,0
Dong Hyun Kim,Tarec Saffiedine,-145,125,68.96551724,125,12/30/16,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,3,2,Switch,177.8,177.8,170,12,Southpaw,187.96,193.04,170,35,30,0,0,0,12,0,0,36,52,0.33,0.49,64,68,138,122,3,2,0.37,0.33,0,0,0
Louis Smolka,Ray Borg,120,-140,120,71.42857143,12/30/16,"Las Vegas, Nevada, USA", USA,Blue,Flyweight,MALE,3,3,Orthodox,162.56,160.02,135,5,Orthodox,175.26,172.72,135,25,23,0,0,0,0,0,0,10,21,0.23,0.55,20,33,53,53,0,4,0,0.5,1,0,12
Johny Hendricks,Neil Magny,170,-200,170,50,12/30/16,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,11,Orthodox,190.5,203.2,170,12,Southpaw,175.26,175.26,185,33,29,0,0,0,8,0,0,18,50,0.5,0.54,52,96,76,139,6,1,0.85,1,0,3,0
Antonio Carlos Junior,Marvin Vettori,-120,100,83.33333333,100,12/30/16,"Las Vegas, Nevada, USA", USA,Red,Middleweight,MALE,3,1,Southpaw,182.88,187.96,185,3,Orthodox,187.96,200.66,185,26,23,0,0,0,0,0,0,28,29,0.37,0.41,44,99,94,144,4,1,0.3,1,0,1,1
Mike Pyle,Alex Garcia,180,-220,180,45.45454545,12/30/16,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,3,Orthodox,175.26,182.88,170,10,Orthodox,182.88,187.96,170,41,29,0,0,0,0,0,1,5,14,0.2,0.48,6,19,25,34,0,1,0,0.5,0,0,2
Brandon Thatch,Niko Price,-155,135,64.51612903,135,12/30/16,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,0,Orthodox,182.88,193.04,170,2,Switch,187.96,187.96,170,31,27,0,0,0,0,0,0,8,6,0.57,0.37,9,18,15,30,0,1,0,0.25,2,0,2
Paige VanZant,Michelle Waterson,-110,-110,90.90909091,90.90909091,12/17/16,"Sacramento, California, USA", USA,Blue,Women's Strawweight,FEMALE,5,1,Orthodox,160.02,157.48,115,4,Orthodox,162.56,165.1,115,22,30,11,0,0,0,0,0,5,12,0.41,0.7,9,13,16,18,0,1,0,1,0,0,1
Sage Northcutt,Mickey Gall,140,-160,140,62.5,12/17/16,"Sacramento, California, USA", USA,Blue,Welterweight,MALE,3,2,Switch,187.96,187.96,170,3,Orthodox,182.88,180.34,170,20,24,0,0,0,0,1,1,13,9,0.56,0.5,22,29,32,40,0,2,0,1,0,1,4
Urijah Faber,Brad Pickett,-340,280,29.41176471,280,12/17/16,"Sacramento, California, USA", USA,Red,Bantamweight,MALE,3,5,Orthodox,167.64,172.72,135,9,Orthodox,167.64,170.18,135,37,38,0,0,0,0,1,0,70,18,0.55,0.27,89,20,151,67,5,1,0.5,1,1,4,0
Alan Jouban,Mike Perry,125,-145,125,68.96551724,12/17/16,"Sacramento, California, USA", USA,Red,Welterweight,MALE,3,2,Orthodox,177.8,180.34,170,5,Southpaw,182.88,185.42,170,35,25,0,0,0,0,1,0,69,37,0.51,0.41,69,37,133,90,2,0,0.4,0,0,0,0
Henrique da Silva,Paul Craig,-230,190,43.47826087,190,12/17/16,"Sacramento, California, USA", USA,Blue,Light Heavyweight,MALE,3,0,Orthodox,190.5,193.04,205,2,Orthodox,190.5,193.04,205,27,29,0,0,0,0,0,0,16,31,0.66,0.63,23,57,33,75,1,1,0.33,0.5,0,0,3
Cole Miller,Mizuto Hirota,-115,-105,86.95652174,95.23809524,12/17/16,"Sacramento, California, USA", USA,Blue,Featherweight,MALE,3,0,Orthodox,170.18,170.18,155,10,Orthodox,185.42,187.96,145,32,35,0,0,0,0,0,0,21,57,0.35,0.5,22,165,61,242,0,6,0,0.85,0,0,6
Bryan Barberena,Colby Covington,300,-360,300,27.77777778,12/17/16,"Sacramento, California, USA", USA,Blue,Welterweight,MALE,3,5,Orthodox,180.34,182.88,170,3,Southpaw,182.88,182.88,170,27,28,0,0,0,0,0,0,41,76,0.36,0.53,100,96,172,167,0,12,0,0.7,0,0,3
James Moontasri,Alex Morono,-135,115,74.07407407,115,12/17/16,"Sacramento, California, USA", USA,Blue,Welterweight,MALE,3,1,Orthodox,180.34,182.88,170,2,Switch,177.8,180.34,170,28,26,0,0,0,0,0,0,46,111,0.48,0.59,48,112,97,187,0,0,0,0,0,0,0
Josh Emmett,Scott Holtzman,-195,168,51.28205128,168,12/17/16,"Sacramento, California, USA", USA,Red,Lightweight,MALE,3,2,Orthodox,175.26,175.26,155,1,Orthodox,167.64,177.8,145,31,33,0,0,0,0,0,0,87,65,0.54,0.36,99,96,175,215,8,3,0.66,0.75,1,2,1
Leslie Smith,Irene Aldana,255,-310,255,32.25806452,12/17/16,"Sacramento, California, USA", USA,Red,Women's Bantamweight,FEMALE,3,0,Orthodox,175.26,172.72,135,2,Orthodox,175.26,167.64,135,34,28,0,0,0,0,1,0,169,108,0.42,0.42,172,108,404,256,0,1,0,1,0,0,0
Eddie Wineland,Takeya Mizugaki,-170,150,58.82352941,150,12/17/16,"Sacramento, California, USA", USA,Red,Bantamweight,MALE,3,8,Orthodox,170.18,172.72,135,4,Orthodox,170.18,175.26,135,32,33,0,0,0,0,2,0,9,13,0.28,0.32,9,13,32,40,0,0,0,0,0,0,0
Hector Sandoval,Fredy Serrano,-125,105,80,105,12/17/16,"Sacramento, California, USA", USA,Red,Flyweight,MALE,3,2,Orthodox,160.02,165.1,125,0,Orthodox,157.48,162.56,125,30,37,0,0,0,0,0,0,33,22,0.49,0.25,42,22,76,87,2,0,0.16,0,2,0,0
Bojan Velickovic,Sultan Aliev,-160,140,62.5,140,12/17/16,"Sacramento, California, USA", USA,Blue,Welterweight,MALE,3,0,Orthodox,180.34,187.96,170,1,Southpaw,182.88,193.04,170,27,32,0,0,0,0,0,0,22,15,0.41,0.57,126,86,160,105,0,2,0,0.66,1,1,3
Max Holloway,Anthony Pettis,-300,250,33.33333333,250,12/10/16,"Toronto, Ontario, Canada", Canada,Red,Featherweight,MALE,5,6,Orthodox,177.8,182.88,170,12,Orthodox,180.34,175.26,155,25,29,0,0,0,0,1,0,94,53,0.45,0.33,98,55,212,160,2,0,1,0,0,1,0
Donald Cerrone,Matt Brown,-300,250,33.33333333,250,12/10/16,"Toronto, Ontario, Canada", Canada,Red,Welterweight,MALE,3,13,Orthodox,182.88,190.5,170,18,Orthodox,185.42,185.42,155,33,35,0,0,0,14,2,1,63,70,0.42,0.54,64,73,148,131,0,0,0,0,0,0,0
Cub Swanson,Dooho Choi,195,-235,195,42.55319149,12/10/16,"Toronto, Ontario, Canada", Canada,Red,Featherweight,MALE,3,3,Orthodox,177.8,177.8,145,8,Orthodox,172.72,177.8,145,33,25,0,0,0,0,0,0,111,77,0.52,0.48,122,87,226,170,2,1,0.4,0.2,0,1,0
Tim Kennedy,Kelvin Gastelum,-125,105,80,105,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Middleweight,MALE,3,7,Southpaw,175.26,180.34,185,3,Orthodox,180.34,187.96,185,37,25,0,0,0,11,0,1,45,62,0.41,0.56,51,68,115,116,3,0,0.37,0,0,1,0
Jordan Mein,Emil Meek,-170,150,58.82352941,150,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Welterweight,MALE,3,0,Switch,180.34,187.96,170,3,Orthodox,182.88,185.42,170,27,28,0,0,0,0,0,0,34,50,0.55,0.37,35,96,62,190,3,1,0.6,0.5,0,1,3
Nikita Krylov,Misha Cirkunov,-115,-105,86.95652174,95.23809524,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Light Heavyweight,MALE,3,3,Orthodox,190.5,195.58,205,6,Orthodox,190.5,195.58,205,24,29,0,0,0,0,0,0,16,8,0.55,0.44,26,13,40,24,1,2,0.5,0.66,0,0,0
Olivier Aubin-Mercier,Drew Dober,-185,160,54.05405405,160,12/10/16,"Toronto, Ontario, Canada", Canada,Red,Lightweight,MALE,3,3,Southpaw,172.72,177.8,155,4,Southpaw,175.26,177.8,155,27,28,0,0,0,0,0,1,27,24,0.5,0.33,30,33,56,80,0,0,0,0,1,1,0
Valerie Letourneau,Viviane Pereira,-120,100,83.33333333,100,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Women's Strawweight,FEMALE,3,0,Orthodox,154.94,160.02,115,3,Orthodox,170.18,172.72,115,33,23,0,0,0,0,0,0,47,25,0.3,0.25,69,42,175,122,1,1,1,1,0,3,1
Mitch Gagnon,Matthew Lopez,-130,110,76.92307692,110,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Bantamweight,MALE,3,0,Southpaw,170.18,175.26,135,4,Southpaw,165.1,165.1,135,32,29,0,0,0,0,1,0,31,30,0.62,0.55,42,53,61,78,1,5,0.25,0.83,0,1,4
John Makdessi,Lando Vannata,135,-155,135,64.51612903,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Lightweight,MALE,3,0,Orthodox,175.26,180.34,155,7,Orthodox,172.72,172.72,155,31,24,0,0,0,0,0,1,11,10,0.84,0.31,11,10,13,32,0,0,0,0,0,0,0
Jason Saggo,Rustam Khabilov,180,-220,180,45.45454545,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Lightweight,MALE,3,6,Orthodox,172.72,185.42,155,3,Orthodox,180.34,180.34,155,31,30,0,0,0,0,0,0,19,42,0.26,0.41,43,93,100,156,0,4,0,0.8,0,0,0
Zach Makovsky,Dustin Ortiz,-130,110,76.92307692,110,12/10/16,"Toronto, Ontario, Canada", Canada,Blue,Flyweight,MALE,3,4,Orthodox,165.1,165.1,125,3,Southpaw,162.56,162.56,125,33,27,0,0,0,0,0,0,21,34,0.47,0.52,29,109,52,146,4,4,0.4,0.44,1,1,4
Derrick Lewis,Shamil Abdurakhimov,-250,210,40,210,12/9/16,"Albany, New York, USA", USA,Red,Heavyweight,MALE,5,2,Orthodox,190.5,193.04,235,7,Orthodox,190.5,200.66,260,31,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Ngannou,Anthony Hamilton,-440,350,22.72727273,350,12/9/16,"Albany, New York, USA", USA,Red,Heavyweight,MALE,3,3,Orthodox,195.58,193.04,260,3,Orthodox,193.04,210.82,250,30,36,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Anderson,Sean O'Connell,-400,325,25,325,12/9/16,"Albany, New York, USA", USA,Red,Light Heavyweight,MALE,3,2,Orthodox,185.42,187.96,205,5,Orthodox,190.5,200.66,205,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gian Villante,Saparbeg Safarov,-190,165,52.63157895,165,12/9/16,"Albany, New York, USA", USA,Red,Light Heavyweight,MALE,3,0,Orthodox,185.42,198.12,205,4,Orthodox,190.5,193.04,205,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justine Kish,Ashley Yoder,-230,190,43.47826087,190,12/9/16,"Albany, New York, USA", USA,Red,Women's Strawweight,FEMALE,3,0,Southpaw,170.18,175.26,115,1,Orthodox,165.1,162.56,125,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Brown,Brian Camozzi,-150,130,66.66666667,130,12/9/16,"Albany, New York, USA", USA,Red,Welterweight,MALE,3,0,Orthodox,187.96,198.12,170,2,Orthodox,190.5,198.12,170,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gigliotti,Gerald Meerschaert,170,-200,170,50,12/9/16,"Albany, New York, USA", USA,Blue,Middleweight,MALE,3,0,Southpaw,185.42,195.58,185,0,Orthodox,180.34,175.26,185,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Sanchez,Trevor Smith,-200,170,50,170,12/9/16,"Albany, New York, USA", USA,Red,Middleweight,MALE,3,4,Orthodox,190.5,190.5,185,1,Orthodox,185.42,187.96,185,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiago Trator,Shane Burgos,165,-190,165,52.63157895,12/9/16,"Albany, New York, USA", USA,Blue,Featherweight,MALE,3,0,Orthodox,180.34,190.5,145,2,Orthodox,175.26,177.8,145,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Perez,Marc Diakiese,220,-260,220,38.46153846,12/9/16,"Albany, New York, USA", USA,Blue,Lightweight,MALE,3,1,Orthodox,177.8,185.42,155,1,Orthodox,180.34,185.42,155,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Berish,Ryan Janes,130,-150,130,66.66666667,12/9/16,"Albany, New York, USA", USA,Blue,Middleweight,MALE,3,0,Orthodox,190.5,193.04,185,0,Orthodox,182.88,185.42,205,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juliana Lima,JJ Aldrich,-230,190,43.47826087,190,12/9/16,"Albany, New York, USA", USA,Red,Women's Strawweight,FEMALE,3,0,Southpaw,165.1,170.18,125,2,Orthodox,165.1,165.1,115,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrious Johnson,Tim Elliott,-900,600,11.11111111,600,12/3/16,"Las Vegas, Nevada, USA", USA,Red,Flyweight,MALE,5,2,Southpaw,170.18,167.64,135,12,Orthodox,160.02,167.64,125,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Benavidez,Henry Cejudo,-200,163,50,163,12/3/16,"Las Vegas, Nevada, USA", USA,Red,Flyweight,MALE,3,4,Orthodox,162.56,162.56,135,11,Southpaw,162.56,165.1,125,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Ellenberger,Jorge Masvidal,175,-210,175,47.61904762,12/3/16,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,7,Orthodox,180.34,187.96,170,10,Orthodox,175.26,180.34,170,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ion Cutelaba,Jared Cannonier,-230,190,43.47826087,190,12/3/16,"Las Vegas, Nevada, USA", USA,Blue,Light Heavyweight,MALE,3,1,Switch,180.34,195.58,185,1,Southpaw,185.42,190.5,205,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara McMann,Alexis Davis,-155,135,64.51612903,135,12/3/16,"Las Vegas, Nevada, USA", USA,Red,Women's Bantamweight,FEMALE,3,4,Orthodox,167.64,172.72,125,3,Orthodox,167.64,167.64,135,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Moreno,Ryan Benoit,-190,165,52.63157895,165,12/3/16,"Las Vegas, Nevada, USA", USA,Red,Flyweight,MALE,3,2,Orthodox,165.1,172.72,125,1,Orthodox,170.18,177.8,125,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray Maynard,Ryan Hall,145,-165,145,60.60606061,12/3/16,"Las Vegas, Nevada, USA", USA,Blue,Featherweight,MALE,3,1,Southpaw,177.8,180.34,155,10,Orthodox,175.26,177.8,155,37,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Font,Matt Schnell,-270,230,37.03703704,230,12/3/16,"Las Vegas, Nevada, USA", USA,Red,Bantamweight,MALE,3,0,Orthodox,172.72,177.8,135,2,Orthodox,172.72,180.34,135,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dong Hyun Ma,Brendan O'Reilly,-150,130,66.66666667,130,12/3/16,"Las Vegas, Nevada, USA", USA,Red,Lightweight,MALE,3,1,Orthodox,170.18,175.26,170,0,Orthodox,180.34,177.8,155,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kailin Curran,Jamie Moyle,-120,100,83.33333333,100,12/3/16,"Las Vegas, Nevada, USA", USA,Blue,Women's Strawweight,FEMALE,3,0,Orthodox,154.94,165.1,115,1,Orthodox,162.56,165.1,115,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elvis Mutapcic,Anthony Smith,-105,-115,95.23809524,86.95652174,12/3/16,"Las Vegas, Nevada, USA", USA,Blue,Middleweight,MALE,3,1,Orthodox,193.04,193.04,205,0,Orthodox,182.88,182.88,185,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Stansbury,Devin Clark,-105,-115,95.23809524,86.95652174,12/3/16,"Las Vegas, Nevada, USA", USA,Blue,Light Heavyweight,MALE,3,0,Orthodox,182.88,190.5,205,1,Orthodox,187.96,187.96,205,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Whittaker,Derek Brunson,100,-120,100,83.33333333,11/26/16,"Melbourne, Victoria, Australia", Australia,Red,Middleweight,MALE,5,7,Southpaw,185.42,195.58,185,7,Orthodox,182.88,185.42,185,25,32,0,0,0,0,1,0,33,19,0.56,0.45,35,25,60,48,0,0,0,0,0,0,0
Jake Matthews,Andrew Holbrook,-550,425,18.18181818,425,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Lightweight,MALE,3,1,Southpaw,180.34,177.8,155,4,Orthodox,180.34,185.42,170,22,30,0,0,0,0,0,0,22,30,0.35,0.56,29,80,70,106,3,2,1,1,0,0,1
Kyle Noke,Omari Akhmedov,-110,-110,90.90909091,90.90909091,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Welterweight,MALE,3,3,Orthodox,182.88,185.42,185,6,Southpaw,185.42,193.04,170,36,29,0,0,0,0,0,0,16,23,0.31,0.31,44,57,81,113,0,3,0,0.75,0,0,2
Yusuke Kasuya,Alexander Volkanovski,135,-155,135,64.51612903,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Lightweight,MALE,3,0,Orthodox,167.64,180.34,145,0,Southpaw,170.18,170.18,155,27,28,0,0,0,0,0,0,4,50,0.4,0.65,7,55,13,81,1,3,0.5,1,0,1,0
Khalil Rountree Jr.,Tyson Pedro,-105,-115,95.23809524,86.95652174,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Light Heavyweight,MALE,3,0,Orthodox,190.5,200.66,205,0,Southpaw,185.42,193.04,205,26,25,0,0,0,0,1,0,3,4,0.42,0.57,10,15,14,21,0,2,0,1,0,0,3
Seohee Ham,Danielle Taylor,-110,-110,90.90909091,90.90909091,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Women's Strawweight,FEMALE,3,0,Orthodox,152.4,152.4,115,1,Southpaw,157.48,157.48,115,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Kelly,Chris Camozzi,165,-190,165,52.63157895,11/26/16,"Melbourne, Victoria, Australia", Australia,Red,Middleweight,MALE,3,9,Orthodox,187.96,193.04,185,4,Southpaw,182.88,177.8,185,39,30,0,0,0,0,0,0,39,56,0.38,0.48,84,66,157,127,4,0,1,0,0,4,0
Damien Brown,Jon Tuck,130,-150,130,66.66666667,11/26/16,"Melbourne, Victoria, Australia", Australia,Red,Lightweight,MALE,3,3,Orthodox,180.34,185.42,155,1,Orthodox,177.8,172.72,155,31,32,0,0,0,0,0,1,34,39,0.26,0.44,40,73,136,122,0,0,0,0,1,0,1
Richard Walsh,Jonathan Meunier,-135,115,74.07407407,115,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Welterweight,MALE,3,0,Switch,190.5,190.5,170,2,Orthodox,182.88,185.42,170,27,29,0,0,0,0,0,0,18,74,0.2,0.47,33,105,106,186,2,1,0.25,0.33,1,0,2
Ben Nguyen,Geane Herrera,-140,120,71.42857143,120,11/26/16,"Melbourne, Victoria, Australia", Australia,Red,Flyweight,MALE,3,1,Orthodox,165.1,167.64,125,2,Switch,165.1,165.1,125,28,26,0,0,0,0,1,0,105,22,0.41,0.2,112,22,262,107,0,1,0,0.2,0,0,0
Dan Hooker,Jason Knight,-145,125,68.96551724,125,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Featherweight,MALE,3,1,Orthodox,177.8,180.34,145,3,Switch,182.88,190.5,155,26,24,0,0,0,0,0,0,47,59,0.47,0.31,58,80,111,208,0,4,0,0.3,0,0,1
Marlon Vera,Ning Guangyou,-110,-110,90.90909091,90.90909091,11/26/16,"Melbourne, Victoria, Australia", Australia,Red,Featherweight,MALE,3,2,Southpaw,162.56,162.56,145,1,Switch,172.72,177.8,135,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yao Zhikui,Jenel Lausa,115,-135,115,74.07407407,11/26/16,"Melbourne, Victoria, Australia", Australia,Blue,Flyweight,MALE,3,0,Orthodox,165.1,172.72,125,1,Orthodox,165.1,162.56,125,25,28,0,0,0,0,0,2,29,56,0.23,0.51,33,70,128,126,1,1,0.16,1,0,0,0
Ryan Bader,Rogerio Nogueira,-340,280,29.41176471,280,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Light Heavyweight,MALE,5,5,Southpaw,187.96,190.5,205,14,Orthodox,187.96,187.96,205,33,40,0,0,0,0,0,0,86,3,0.74,0.25,129,12,164,23,5,0,1,0,1,9,0
Thomas Almeida,Albert Morales,-300,250,33.33333333,250,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Bantamweight,MALE,3,0,Orthodox,175.26,182.88,135,4,Southpaw,170.18,177.8,135,25,25,0,0,0,0,1,0,41,18,0.51,0.24,42,18,80,74,0,1,0,0.5,0,0,1
Claudia Gadelha,Cortney Casey,-460,365,21.73913043,365,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Women's Strawweight,FEMALE,3,2,Orthodox,170.18,170.18,115,2,Orthodox,162.56,160.02,115,27,29,0,0,0,0,0,0,34,22,0.42,0.32,43,46,92,95,6,0,1,0,1,2,0
Thales Leites,Krzysztof Jotko,-135,115,74.07407407,115,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,Middleweight,MALE,3,5,Southpaw,185.42,195.58,185,11,Orthodox,185.42,198.12,185,35,27,0,0,0,0,0,0,4,42,0.28,0.5,4,93,14,143,1,1,0.12,0.5,1,2,5
Warlley Alves,Kamaru Usman,175,-210,175,47.61904762,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,Welterweight,MALE,3,3,Switch,182.88,193.04,170,4,Orthodox,180.34,182.88,170,25,29,0,0,0,0,0,0,25,71,0.34,0.47,26,129,74,216,0,1,0,0.5,1,0,2
Sergio Moraes,Zak Ottow,-150,130,66.66666667,130,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Welterweight,MALE,3,1,Orthodox,180.34,182.88,170,4,Orthodox,182.88,182.88,170,34,29,0,0,0,0,0,0,35,44,0.38,0.31,53,50,109,147,1,0,0.33,0,0,1,0
Cezar Ferreira,Jack Hermansson,110,-130,110,76.92307692,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Middleweight,MALE,3,1,Orthodox,185.42,195.58,185,6,Southpaw,185.42,198.12,185,31,28,0,0,0,0,0,0,10,14,0.33,0.28,10,14,30,49,1,0,1,0,1,2,0
Marcos Rogerio de Lima,Gadzhimurad Antigulov,-165,145,60.60606061,145,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,Light Heavyweight,MALE,3,0,Orthodox,180.34,177.8,205,3,Orthodox,185.42,190.5,253,31,29,0,0,0,0,0,0,2,0,0.33,0,11,0,15,4,0,1,0,1,0,0,1
Johnny Eduardo,Manvel Gamburyan,-140,120,71.42857143,120,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Bantamweight,MALE,3,6,Orthodox,165.1,170.18,135,2,Orthodox,170.18,180.34,135,38,35,0,0,0,0,1,0,26,11,0.48,0.45,28,13,56,26,0,0,0,0,0,0,0
Luis Henrique,Christian Colombo,-290,245,34.48275862,245,11/19/16,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Heavyweight,MALE,3,0,Orthodox,195.58,203.2,265,1,Orthodox,187.96,187.96,243,23,36,0,0,0,0,0,0,31,3,0.59,0.21,57,32,87,43,6,0,1,0,2,4,0
