R_fighter,B_fighter,gender,R_age,B_age,R_Height_cms,B_Height_cms,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,sig_str_landed_bout_diff,ev_diff,odds_diff,tot_str_landed_bout_diff,sig_str_pct_bout_diff
Sage Northcutt,Zak Ottow,MALE,22,31,182.88,180.34,170,170,180.34,182.88,-18,15.238095240000007,20,-4,-0.27
Dennis Bermudez,Rick Glenn,MALE,31,29,167.64,182.88,155,145,167.64,177.8,6,105.94594595,345,3,-0.010000000000000007
Randy Brown,Niko Price,MALE,28,28,190.5,182.88,170,170,198.12,193.04,-1,33.07692308,240,22,-0.04999999999999999
Myles Jury,Chad Mendes,MALE,29,33,177.8,167.64,145,145,185.42,167.64,14,-16.666666669999998,-220,14,0.37
Cat Zingano,Marion Reneau,FEMALE,36,41,167.64,167.64,145,135,172.72,172.72,-19,0,0,-59,-0.22
Eddie Wineland,Alejandro Perez,MALE,34,28,170.18,167.64,135,135,175.26,170.18,5,-97.85714286,-330,5,-0.020000000000000014
Darren Elkins,Alexander Volkanovski,MALE,34,29,177.8,167.64,145,145,180.34,180.34,18,-134.54545455,-400,10,0.22
Justin Scoggins,Said Nurmagomedov,MALE,26,26,170.18,172.72,125,135,167.64,177.8,33,-8.281573500000007,-10,54,0.21
Kurt Holobaugh,Raoni Barcelos,MALE,31,31,180.34,170.18,155,135,177.8,170.18,-20,84.39393939,310,-35,0.11000000000000004
Liz Carmouche,Jennifer Maia,FEMALE,34,29,167.64,162.56,125,125,167.64,162.56,-11,8.281573500000007,10,-54,-0.27
John Moraga,Matheus Nicolau,MALE,32,23,167.64,167.64,125,125,167.64,167.64,0,48.57142857,260,0,0
Mark De La Rosa,Elias Garcia,MALE,23,25,167.64,165.1,135,125,165.1,170.18,-6,-40.92592593000001,-250,15,-0.21000000000000008
Jessica Aguilar,Jodie Esquibel,FEMALE,36,32,160.02,154.94,115,115,160.02,162.56,-47,-91.17647059,-320,-57,-0.22000000000000006
Stipe Miocic,Daniel Cormier,MALE,35,39,193.04,180.34,240,235,203.2,182.88,0,77.5,300,0,0
Francis Ngannou,Derrick Lewis,MALE,31,33,193.04,190.5,250,260,210.82,200.66,0,222.74193548,565,0,0
Paul Felder,Mike Perry,MALE,34,26,180.34,177.8,155,170,177.8,180.34,0,91.17647059,320,0,0
Michael Chiesa,Anthony Pettis,MALE,30,31,185.42,177.8,170,170,190.5,182.88,0,97.85714286,330,0,0
Tarec Saffiedine,Rick Story,MALE,29,31,177.8,175.26,170,170,177.8,180.34,26,-40.92592593000001,-250,50,0.07
Gokhan Saki,Khalil Rountree Jr.,MALE,34,28,182.88,185.42,205,205,185.42,193.04,0,77.5,300,0,0
Uriah Hall,Paulo Costa,MALE,33,27,182.88,185.42,185,185,200.66,182.88,0,-210.51724138,-535,0,0
Raphael Assuncao,Rob Font,MALE,35,31,165.1,172.72,135,135,167.64,180.34,0,48.57142857,260,0,0
Lando Vannata,Drakkar Klose,MALE,26,30,175.26,175.26,155,155,180.34,177.8,0,120,370,0,0
Curtis Millender,Max Griffin,MALE,30,32,187.96,180.34,170,170,193.04,193.04,0,91.17647059,320,0,0
Dan Hooker,Gilbert Burns,MALE,28,31,182.88,177.8,155,155,190.5,180.34,0,8.281573500000007,10,0,0
Artem Lobov,Ryan Hall,MALE,29,30,175.26,177.8,145,155,165.1,180.34,21,84.39393939,310,156,0.3800000000000001
Jamie Moyle,Emily Whitmire,FEMALE,29,27,154.94,165.1,115,115,165.1,160.02,0,105.94594595,345,0,0
Brad Tavares,Israel Adesanya,MALE,30,28,185.42,193.04,185,185,187.96,203.2,0,-8.281573500000007,-10,0,0
Michael Trizano,Joe Giannetti,MALE,26,23,180.34,182.88,155,155,180.34,187.96,0,-63.33333333,-280,0,0
Jay Cucciniello,Brad Katona,MALE,31,26,170.18,167.64,155,135,173,162.56,0,-181.53846154,-480,0,0
Alex Caceres,Martin Bravo,MALE,30,24,177.8,172.72,145,145,185.42,180.34,0,33.07692308,240,0,0
Roxanne Modafferi,Barb Honchak,FEMALE,35,38,170.18,162.56,125,125,175.26,165.1,0,-63.33333333,-280,0,0
Tae Hyun Bang,Leo Kuntz,MALE,32,32,175.26,177.8,155,155,180.34,187.96,-23,-239.69696969999998,-600,6,-0.14999999999999994
Alessio Di Chirico,Julian Marquez,MALE,28,28,182.88,187.96,185,185,187.96,190.5,0,-40.92592593000001,-250,0,0
Montana De La Rosa,Rachael Ostovich,FEMALE,23,27,170.18,160.02,125,125,172.72,157.48,0,56.03448276,270,0,0
Luis Pena,Richie Smullen,MALE,25,26,190.5,175.26,155,155,190.5,172.72,0,288.68421053,695,0,0
John Gunther,Allan Zuniga,MALE,32,26,175.26,170.18,155,155,182.88,177.8,0,33.07692308,240,0,0
Tyler Diamond,Bryce Mitchell,MALE,27,23,170.18,177.8,145,145,175.26,178,0,-48.57142857,-260,0,0
Matt Bessette,Steven Peterson,MALE,33,28,177.8,177.8,145,145,177.8,177.8,0,25,230,0,0
Gerald Meerschaert,Oskar Piechota,MALE,30,28,185.42,182.88,185,185,195.58,193.04,0,-134.54545455,-400,0,0
Donald Cerrone,Leon Edwards,MALE,35,26,185.42,182.88,155,170,185.42,187.96,24,-175.78431373,-470,37,0.04999999999999999
Ovince Saint Preux,Tyson Pedro,MALE,35,26,190.5,190.5,205,205,203.2,200.66,2,-56.03448276,-270,-3,0.17000000000000004
Jessica-Rose Clark,Jessica Eye,FEMALE,30,31,165.1,167.64,125,125,162.56,167.64,16,84.39393939,310,23,-0.07
Li Jingliang,Daichi Abe,MALE,30,26,182.88,180.34,170,170,180.34,180.34,0,164.18367347,450,0,0
Teruto Ishihara,Petr Yan,MALE,26,25,170.18,170.18,135,135,175.26,170.18,14,-433.33333333,-1050,18,0.26
Felipe Arantes,Song Yadong,MALE,30,20,172.72,172.72,135,135,185.42,170.18,31,-8.281573500000007,-10,79,0.14
Rolando Dy,Shane Young,MALE,27,24,172.72,172.72,145,145,175.26,182.88,47,-84.39393939,-310,58,0.11
Song Kenan,Hector Aldana,MALE,28,29,182.88,180.34,170,170,180.34,182.88,0,210.51724138,535,0,0
Shinsho Anzai,Jake Matthews,MALE,32,23,170.18,180.34,170,170,177.8,185.42,11,-433.33333333,-1050,12,0.43
Viviane Pereira,Yan Xiaonan,FEMALE,24,29,154.94,165.1,115,115,160.02,160.02,0,84.39393939,310,0,0
Matt Schnell,Naoki Inoue,MALE,28,21,172.72,175.26,135,125,177.8,180.34,-23,-112.36842105,-355,-15,-0.14
Ji Yeon Kim,Melinda Fabian,FEMALE,28,30,170.18,167.64,125,125,182.88,167.64,-1,91.17647059,320,-14,0.11
Robert Whittaker,Yoel Romero,MALE,27,41,182.88,182.88,185,185,185.42,185.42,0,198.63636364,510,0,0
Rafael Dos Anjos,Colby Covington,MALE,33,30,172.72,180.34,170,170,177.8,182.88,0,-40.92592593000001,-250,0,0
Holly Holm,Megan Anderson,FEMALE,36,28,172.72,182.88,145,145,175.26,182.88,0,56.03448276,270,0,0
Andrei Arlovski,Tai Tuivasa,MALE,39,25,190.5,187.96,240,264,195.58,190.5,0,-146.52173913,-420,0,0
CM Punk,Mike Jackson,MALE,39,33,185.42,187.96,170,170,185.42,188,0,-112.36842105,-355,0,0
Kyoji Horiguchi,Chico Camus,MALE,24,30,165.1,167.64,125,125,167.64,167.64,-15,311.19047619,755,-14,-0.020000000000000014
Alistair Overeem,Curtis Blaydes,MALE,38,27,193.04,193.04,265,265,203.2,203.2,0,-120,-370,0,0
Claudia Gadelha,Carla Esparza,FEMALE,29,30,162.56,154.94,115,115,160.02,160.02,0,192.96296296,500,0,0
Ricardo Lamas,Mirsad Bektic,MALE,36,27,172.72,172.72,145,145,180.34,177.8,0,-164.18367347,-450,0,0
Rashad Coulter,Chris de la Rocha,MALE,36,39,180.34,190.5,205,250,193.04,203.2,0,8.281573500000007,10,0,0
Rashad Evans,Anthony Smith,MALE,38,29,182.88,193.04,205,205,190.5,193.04,0,-139.2195122,-393,0,0
Joseph Benavidez,Sergio Pettis,MALE,33,24,162.56,167.64,125,135,165.1,175.26,0,120,370,0,0
Clay Guida,Charles Oliveira,MALE,36,28,170.18,177.8,155,155,177.8,187.96,0,-48.57142857,-260,0,0
Mike Santiago,Dan Ige,MALE,28,26,177.8,170.18,145,145,175.26,180.34,0,0,0,0,0
Jimmie Rivera,Marlon Moraes,MALE,28,30,162.56,167.64,135,135,172.72,170.18,0,16.666666669999998,220,0,0
Gregor Gillespie,Vinc Pichel,MALE,31,35,170.18,177.8,155,155,180.34,182.88,0,300,725,0,0
Walt Harris,Daniel Spitz,MALE,34,27,195.58,200.66,250,245,195.58,208.28,0,134.54545455,400,0,0
Jake Ellenberger,Ben Saunders,MALE,33,35,175.26,187.96,170,170,180.34,195.58,0,77.5,300,0,0
Julio Arce,Daniel Teymur,MALE,28,30,170.18,165.1,145,145,177.8,175.26,0,105.94594595,345,0,0
Gian Villante,Sam Alvey,MALE,32,32,190.5,187.96,205,205,193.04,190.5,0,-70.48387097,-290,0,0
Sijara Eubanks,Lauren Murphy,FEMALE,33,34,162.56,170.18,135,125,170.18,170.18,0,127.38095238,385,0,0
Nik Lentz,David Teymur,MALE,33,29,172.72,175.26,155,155,172.72,185.42,0,-216.66666667,-550,0,0
Belal Muhammad,Chance Rencountre,MALE,29,31,180.34,187.96,170,170,182.88,190.5,0,337.77777778,810,0,0
Desmond Green,Gleison Tibau,MALE,28,34,177.8,177.8,155,155,185.42,180.34,0,591.666666667,1800,0,0
Takeya Mizugaki,George Roop,MALE,31,33,170.18,185.42,135,135,172.72,182.88,-23,158.33333333000004,440,9,-0.020000000000000014
Johnny Eduardo,Nathaniel Wood,MALE,39,25,170.18,167.64,135,135,180.34,175.26,0,-164.18367347,-450,0,0
Jarred Brooks,Jose Torres,MALE,25,25,160.02,162.56,125,125,157.48,165.1,0,-56.03448276,-270,0,0
Stephen Thompson,Darren Till,MALE,35,25,182.88,182.88,170,170,190.5,187.96,8,63.33333333,280,9,0.06999999999999998
Neil Magny,Craig White,MALE,30,27,190.5,187.96,170,170,203.2,193.04,-12,511.66666667,1275,-27,-0.27
Arnold Allen,Mads Burnell,MALE,24,24,172.72,172.72,145,145,177.8,175.26,-9,164.18367347,450,32,0.029999999999999968
Jason Knight,Makwan Amirkhani,MALE,25,29,177.8,177.8,145,145,180.34,182.88,-2,91.17647059,320,-32,0.11
Claudio Silva,Nordine Taleb,MALE,35,36,180.34,185.42,170,170,180.34,187.96,-12,-300,-725,-19,0.03999999999999998
Eric Spicely,Darren Stewart,MALE,31,27,185.42,182.88,185,185,185.42,187.96,19,77.5,300,15,0.16999999999999998
Daniel Kelly,Tom Breese,MALE,40,26,182.88,190.5,185,185,177.8,185.42,17,-288.68421053,-695,17,0.31000000000000005
Lina Lansberg,Gina Mazany,FEMALE,36,29,170.18,167.64,135,135,165.1,172.72,-2,-77.5,-300,31,-0.11000000000000004
Bradley Scott,Carlo Pedersoli,MALE,28,24,185.42,180.34,170,170,193.04,190.5,0,-48.57142857,-260,0,0
Gillian Robertson,Molly McCann,FEMALE,23,28,165.1,162.56,125,125,160.02,157.48,-7,-70.48387097,-290,-16,-0.040000000000000036
Elias Theodorou,Trevor Smith,MALE,29,37,185.42,190.5,185,185,190.5,190.5,-36,294.35897436,710,-58,-0.05000000000000005
Demian Maia,Kamaru Usman,MALE,40,31,185.42,182.88,170,170,182.88,193.04,39,-395.95238095,-940,64,0
Alexa Grasso,Tatiana Suarez,FEMALE,24,27,165.1,165.1,115,115,167.64,167.64,-4,-406.81818182,-975,-17,-0.53
Jared Cannonier,Dominick Reyes,MALE,34,28,180.34,193.04,185,205,195.58,195.58,14,-134.54545455,-400,11,0.09999999999999998
Diego Rivas,Guido Cannetti,MALE,26,38,172.72,167.64,145,135,175.26,172.72,3,97.85714286,330,18,0
Veronica Macedo,Andrea Lee,FEMALE,22,29,162.56,167.64,125,125,162.56,175.26,32,-250.58823529,-620,45,0.28
Vicente Luque,Chad Laprise,MALE,26,31,180.34,177.8,170,170,190.5,180.34,-1,152.44680850999995,430,0,0.03999999999999998
Zak Cummings,Michel Prazeres,MALE,33,36,182.88,167.64,185,170,190.5,170.18,2,112.36842105,355,-30,0.09000000000000002
Brandon Moreno,Alexandre Pantoja,MALE,24,28,170.18,165.1,125,125,177.8,170.18,34,0,0,46,0.13999999999999996
Poliana Botelho,Syuri Kondo,FEMALE,29,29,172.72,162.56,115,115,170.18,167.64,-7,106.52873563,338,-7,-0.02999999999999992
Gabriel Benitez,Humberto Bandenay,MALE,29,23,172.72,180.34,145,145,180.34,182,-7,80.48387097,300,-7,0.53
Enrique Barzola,Brandon Davis,MALE,29,28,170.18,177.8,145,135,177.8,182.88,-22,152.44680850999995,430,-50,-0.21
Neil Seery,Louis Smolka,MALE,35,23,162.56,175.26,125,135,162.56,172.72,2,-40.92592593000001,-250,-56,0.030000000000000027
Henry Briones,Frankie Saenz,MALE,37,37,172.72,167.64,135,135,175.26,167.64,22,-250.58823529,-620,26,0.13000000000000006
Claudio Puelles,Felipe Silva,MALE,22,34,180.34,182.88,155,155,182.88,195.58,54,-234.23076923,-590,87,0.21
Amanda Nunes,Raquel Pennington,FEMALE,29,29,172.72,170.18,145,135,175.26,170.18,-60,485.71428571,1200,-73,-0.11
Jacare Souza,Kelvin Gastelum,MALE,38,26,185.42,175.26,185,185,182.88,180.34,-11,8.281573500000007,10,-21,-0.19000000000000009
Mackenzie Dern,Amanda Cooper,FEMALE,25,26,162.56,160.02,115,115,160.02,162.56,-9,181.53846154,480,-10,-0.22000000000000006
John Lineker,Brian Kelleher,MALE,27,31,160.02,167.64,135,135,170.18,167.64,-52,187.26415094,490,-55,-0.07
Vitor Belfort,Lyoto Machida,MALE,41,39,182.88,185.42,185,185,187.96,187.96,9,-112.36842105,-355,9,0.34
Cezar Ferreira,Karl Roberson,MALE,33,27,185.42,185.42,185,205,198.12,187.96,-1,63.33333333,280,6,-0.16999999999999993
Aleksei Oleinik,Junior Albini,MALE,40,27,187.96,190.5,240,264,203.2,187.96,0,-66.03448276,-280,0,0.08000000000000007
Davi Ramos,Nick Hein,MALE,31,34,167.64,167.64,155,155,177.8,167.64,-5,105.94594595,345,-12,-0.34
Elizeu Zaleski dos Santos,Sean Strickland,MALE,31,27,180.34,185.42,170,170,185.42,193.04,-1,-16.666666669999998,-220,-4,0.13
Warlley Alves,Sultan Aliev,MALE,27,33,180.34,180.34,170,170,182.88,187.96,-17,204.28571429,520,-40,-0.15999999999999998
Thales Leites,Jack Hermansson,MALE,36,29,185.42,185.42,185,185,198.12,195.58,24,-33.07692308,-240,29,-0.020000000000000014
Alberto Mina,Ramazan Emeev,MALE,36,30,182.88,177.8,170,170,195.58,193.04,27,-91.17647059,-320,38,0.32
Markus Perez,James Bochnovic,MALE,29,29,185.42,193.04,185,205,185.42,205.74,-1,216.66666667,550,-9,-0.5
Edson Barboza,Kevin Lee,MALE,32,25,180.34,175.26,155,170,190.5,195.58,91,-84.39393939,-310,169,0.09999999999999998
Frankie Edgar,Cub Swanson,MALE,36,34,167.64,172.72,145,145,172.72,177.8,-10,198.63636364,510,-10,-0.06
Justin Willis,Chase Sherman,MALE,30,28,185.42,193.04,264,250,198.12,198.12,-7,210.51724138,535,-6,-0.18999999999999995
David Branch,Thiago Santos,MALE,36,34,185.42,187.96,185,205,198.12,193.04,9,-77.5,-300,9,0.14999999999999994
Aljamain Sterling,Brett Johns,MALE,28,26,170.18,170.18,135,135,180.34,180.34,-62,8.281573500000007,10,-61,-0.28
Jim Miller,Dan Hooker,MALE,34,28,172.72,182.88,155,155,180.34,190.5,14,-216.66666667,-550,11,0.040000000000000036
Ryan LaFlare,Alex Garcia,MALE,34,30,185.42,175.26,170,170,187.96,182.88,-13,63.33333333,280,-26,-0.3
Merab Dvalishvili,Ricky Simon,MALE,27,25,167.64,167.64,135,135,172.72,175.26,-27,0,0,-44,0.040000000000000036
Siyar Bahadurzada,Luan Chagas,MALE,34,24,180.34,182.88,170,170,185.42,190.5,-22,-91.17647059,-320,-30,-0.22000000000000006
Corey Anderson,Patrick Cummins,MALE,28,37,190.5,187.96,205,205,200.66,193.04,-33,84.39393939,310,-55,-0.22000000000000006
Anthony Rocco Martin,Keita Nakamura,MALE,28,33,182.88,180.34,170,170,185.42,185.42,-32,120,370,-39,-0.13999999999999996
Dustin Poirier,Justin Gaethje,MALE,29,29,175.26,180.34,155,155,182.88,177.8,-59,25,230,-63,0.05000000000000005
Carlos Condit,Alex Oliveira,MALE,33,30,187.96,180.34,170,170,190.5,193.04,-3,-97.85714286,-330,-20,-0.27
Israel Adesanya,Marvin Vettori,MALE,28,24,193.04,182.88,185,185,203.2,187.96,-11,164.18367347,450,-7,-0.17000000000000004
Michelle Waterson,Cortney Casey,FEMALE,32,30,160.02,170.18,115,115,157.48,170.18,-25,-84.39393939,-310,-13,-0.35
Tim Boetsch,Antonio Carlos Junior,MALE,37,28,182.88,187.96,185,185,187.96,200.66,24,-181.53846154,-480,22,0.26
Muslim Salikhov,Ricky Rainey,MALE,33,34,180.34,185.42,170,170,177.8,195.58,-6,127.38095238,385,-5,-0.09000000000000002
Wilson Reis,John Moraga,MALE,33,34,162.56,167.64,125,125,165.1,167.64,34,16.666666669999998,220,8,0.31
Krzysztof Jotko,Brad Tavares,MALE,28,30,185.42,185.42,185,185,195.58,187.96,22,33.07692308,240,22,0.14999999999999994
Gilbert Burns,Dan Moret,MALE,31,31,177.8,182.88,155,155,180.34,185.42,-11,454.375,1110,-19,-0.12999999999999995
Shana Dobson,Lauren Mueller,FEMALE,29,26,167.64,165.1,125,125,175.26,170.18,-10,-77.5,-300,-4,0.03999999999999998
Dhiego Lima,Yushin Okami,MALE,29,36,187.96,187.96,170,170,187.96,190.5,4,-25,-230,40,0.33
Arjan Bhullar,Adam Wieczorek,MALE,31,26,185.42,195.58,245,250,190.5,205.74,4,234.23076923,590,-28,-0.020000000000000014
Matthew Lopez,Alejandro Perez,MALE,31,28,170.18,167.64,135,135,175.26,170.18,22,0,0,49,-0.16999999999999998
Luke Sanders,Patrick Williams,MALE,32,36,167.64,172.72,135,135,170.18,185.42,2,321.74418605,775,6,0.13000000000000006
Khabib Nurmagomedov,Al Iaquinta,MALE,29,30,177.8,177.8,155,155,177.8,177.8,0,454.375,1110,0,0
Rose Namajunas,Joanna Jedrzejczyk,FEMALE,25,30,165.1,167.64,115,125,165.1,165.1,0,0,0,0,0
Renato Moicano,Calvin Kattar,MALE,28,30,180.34,180.34,145,145,182.88,182.88,0,8.281573500000007,10,0,0
Zabit Magomedsharipov,Kyle Bochniak,MALE,27,31,185.42,170.18,145,145,185.42,177.8,0,485.71428571,1200,0,0
Joe Lauzon,Chris Gruetzemacher,MALE,33,31,177.8,172.72,155,155,180.34,172.72,0,56.03448276,270,0,0
Karolina Kowalkiewicz,Felice Herrig,FEMALE,32,33,160.02,162.56,115,115,162.56,165.1,0,112.36842105,355,0,0
Evan Dunham,Olivier Aubin-Mercier,MALE,36,29,177.8,175.26,155,155,177.8,177.8,0,48.57142857,260,0,0
Bec Rawlings,Ashlee Evans-Smith,FEMALE,29,30,167.64,172.72,125,125,162.56,170.18,0,-120,-370,0,0
Devin Clark,Mike Rodriguez,MALE,27,29,182.88,193.04,205,205,190.5,208.28,0,-8.281573500000007,-10,0,0
Fabricio Werdum,Alexander Volkov,MALE,40,29,193.04,200.66,231,250,195.58,203.2,0,127.38095238,385,13,-0.010000000000000007
Jimi Manuwa,Jan Blachowicz,MALE,38,35,185.42,187.96,205,205,200.66,198.12,60,63.33333333,280,87,0.16999999999999998
Tom Duquesnoy,Terrion Ware,MALE,24,31,170.18,172.72,135,135,172.72,180.34,18,321.74418605,775,38,-0.12
Leon Edwards,Peter Sobotta,MALE,26,31,182.88,182.88,170,170,187.96,190.5,-26,112.36842105,355,-14,-0.11
John Phillips,Charles Byrd,MALE,32,34,180.34,177.8,185,185,190.5,185.42,11,8.281573500000007,10,33,0.78
Danny Roberts,Oliver Enkamp,MALE,30,26,185.42,182.88,170,170,187.96,195.58,3,33.07692308,240,4,0.17999999999999994
Danny Henry,Hakeem Dawodu,MALE,29,26,182.88,172.72,145,145,185.42,185.42,1,-201.53846154,-500,1,0.6
Paul Craig,Magomed Ankalaev,MALE,30,25,190.5,190.5,205,205,193.04,190.5,41,-537.5,-1350,55,0.25
Stevie Ray,Kajan Johnson,MALE,27,33,177.8,180.34,155,155,177.8,190.5,9,127.38095238,385,0,0.23
Mark Godbeer,Dmitry Sosnovskiy,MALE,34,28,193.04,190.5,240,240,195.58,195.58,4,-181.53846154,-480,-20,0.059999999999999935
Cris Cyborg,Yana Kunitskaya,FEMALE,32,28,172.72,167.64,145,135,172.72,172.72,0,640,1650,0,0
Frankie Edgar,Brian Ortega,MALE,36,27,167.64,172.72,145,145,172.72,175.26,0,70.48387097,290,0,0
Sean O'Malley,Andre Soukhamthath,MALE,23,29,180.34,175.26,135,135,182.88,177.8,0,56.03448276,270,0,0
Stefan Struve,Andrei Arlovski,MALE,30,39,210.82,190.5,265,240,213.36,195.58,0,105.94594595,345,0,0
Cat Zingano,Ketlen Vieira,FEMALE,35,26,167.64,172.72,145,135,172.72,172.72,0,-127.38095238,-385,0,0
Ashley Yoder,Mackenzie Dern,FEMALE,30,24,170.18,162.56,115,115,175.26,160.02,0,-369.59183673,-880,0,0
Beneil Dariush,Alexander Hernandez,MALE,28,25,177.8,175.26,155,155,182.88,182.88,0,311.19047619,755,0,0
John Dodson,Pedro Munhoz,MALE,33,31,160.02,167.64,135,135,167.64,165.1,0,77.5,300,0,0
CB Dollaway,Hector Lombard,MALE,34,40,187.96,175.26,185,185,193.04,180.34,0,0,0,0,0
Mike Pyle,Zak Ottow,MALE,42,31,182.88,180.34,170,170,187.96,182.88,0,-239.69696969999998,-600,0,0
Bryan Caraway,Cody Stamann,MALE,33,28,172.72,167.64,135,135,172.72,162.56,0,-8.281573500000007,-10,0,0
Jordan Johnson,Adam Milstead,MALE,29,30,187.96,190.5,205,205,200.66,193.04,0,175.78431373,470,0,0
Josh Emmett,Jeremy Stephens,MALE,32,31,167.64,172.72,145,145,177.8,180.34,6,-33.07692308,-240,3,-0.030000000000000027
Yoshihiro Akiyama,Amir Sadollah,MALE,39,34,177.8,177.8,170,170,185.42,187.96,-15,80.48387097,300,-31,-0.06
Jessica Andrade,Tecia Torres,FEMALE,26,28,154.94,154.94,115,115,157.48,152.4,-23,170,460,-63,-0.04999999999999999
Ovince Saint Preux,Ilir Latifi,MALE,34,34,190.5,177.8,205,205,203.2,185.42,18,84.39393939,310,20,0.31
Mike Perry,Max Griffin,MALE,26,32,177.8,180.34,170,170,180.34,193.04,33,216.66666667,550,36,0.06
Renan Barao,Brian Kelleher,MALE,31,31,167.64,167.64,135,135,177.8,167.64,-22,84.39393939,310,11,-0.03999999999999998
Sara McMann,Marion Reneau,FEMALE,37,40,167.64,167.64,135,135,167.64,172.72,14,112.36842105,355,-39,0.4
Maryna Moroz,Angela Hill,FEMALE,26,33,170.18,160.02,125,115,170.18,162.56,30,-63.33333333,-280,21,0.28
Ben Saunders,Alan Jouban,MALE,34,36,187.96,182.88,170,170,195.58,185.42,45,-170,-460,44,0.14000000000000007
Sam Alvey,Marcin Prachnio,MALE,31,29,187.96,190.5,205,205,190.5,187.96,5,-134.54545455,-400,22,0.09999999999999998
Rani Yahya,Russell Doane,MALE,33,31,167.64,170.18,135,135,170.18,177.8,-15,134.54545455,400,-90,-0.6
Eric Shelton,Alex Perez,MALE,27,25,167.64,167.64,125,135,172.72,165.1,-12,48.57142857,260,-5,-0.020000000000000014
Albert Morales,Manny Bermudez,MALE,26,23,175.26,177.8,135,135,182.88,180.34,-7,-97.85714286,-330,-3,0.07
Donald Cerrone,Yancy Medeiros,MALE,34,30,185.42,177.8,155,155,185.42,190.5,-3,-16.666666669999998,-220,-2,-0.18
Derrick Lewis,Marcin Tybura,MALE,33,32,190.5,190.5,260,249,200.66,198.12,7,0,0,51,0
James Vick,Francisco Trinaldo,MALE,30,39,190.5,175.26,155,155,193.04,177.8,-42,127.38095238,385,-45,-0.14999999999999994
Thiago Alves,Curtis Millender,MALE,34,30,175.26,187.96,170,170,177.8,193.04,14,63.33333333,280,10,0.13
Steven Peterson,Brandon Davis,MALE,27,27,177.8,177.8,145,135,177.8,182.88,41,-63.33333333,-280,37,0.15000000000000002
Sage Northcutt,Thibault Gouti,MALE,21,30,182.88,177.8,170,155,180.34,182.88,-35,286.33333333,688,-95,-0.030000000000000027
Jared Gordon,Diego Ferreira,MALE,29,33,175.26,175.26,155,155,172.72,187.96,21,97.85714286,330,21,0.010000000000000007
Geoff Neal,Brian Camozzi,MALE,27,26,180.34,187.96,170,170,190.5,198.12,-7,127.38095238,385,-6,-0.21
Sarah Moras,Lucie Pudilova,FEMALE,29,23,170.18,172.72,135,125,170.18,170.18,32,-63.33333333,-280,27,0.20000000000000007
Joshua Burkman,Alex Morono,MALE,37,27,177.8,180.34,170,170,182.88,182.88,3,-272.22222222,-660,3,0.06
Oskar Piechota,Tim Williams,MALE,28,31,182.88,187.96,185,185,193.04,193.04,-9,250.58823529,620,-9,-0.33
Yoel Romero,Luke Rockhold,MALE,40,33,182.88,190.5,185,185,185.42,195.58,0,-105.94594595,-345,-7,-0.11
Mark Hunt,Curtis Blaydes,MALE,43,26,177.8,193.04,265,265,182.88,203.2,42,-112.36842105,-355,91,0.10000000000000003
Tai Tuivasa,Cyril Asker,MALE,24,32,187.96,182.88,264,247,190.5,187.96,-35,198.63636364,510,-36,-0.47
Jake Matthews,Li Jingliang,MALE,23,29,180.34,182.88,170,170,185.42,180.34,0,-56.03448276,-270,0,0
Tyson Pedro,Saparbeg Safarov,MALE,26,31,190.5,185.42,205,205,200.66,198.12,-4,216.66666667,550,-7,-0.16000000000000006
Damien Brown,Dong Hyun Ma,MALE,33,29,177.8,180.34,155,155,172.72,177.8,21,-40.92592593000001,-250,22,0.06
Rob Wilkinson,Israel Adesanya,MALE,25,28,190.5,193.04,185,185,203.2,203.2,30,-277.60273973,-670,37,0.22
Alexander Volkanovski,Jeremy Kennedy,MALE,29,25,167.64,180.34,145,145,180.34,180.34,-65,120,370,-94,-0.28
Jussier Formiga,Ben Nguyen,MALE,32,29,165.1,165.1,125,125,170.18,165.1,-6,0,0,-13,-0.23000000000000004
Ross Pearson,Mizuto Hirota,MALE,33,36,172.72,170.18,155,155,175.26,170.18,19,77.5,300,18,0.03999999999999998
Teruto Ishihara,Jose Quinonez,MALE,26,27,170.18,172.72,135,135,175.26,175.26,16,-70.48387097,-290,19,0.2
Luke Jumeau,Daichi Abe,MALE,29,26,180.34,180.34,170,170,182.88,180.34,0,-77.5,-300,1,-0.12
Lyoto Machida,Eryk Anders,MALE,39,30,185.42,185.42,185,185,187.96,190.5,0,-164.18367347,-450,0,0
Valentina Shevchenko,Priscila Cachoeira,FEMALE,29,29,165.1,170.18,125,125,167.64,165.1,0,690.9090909089999,1800,0,0
Michel Prazeres,Desmond Green,MALE,36,28,167.64,177.8,170,155,170.18,185.42,0,16.666666669999998,220,0,0
Douglas Silva de Andrade,Marlon Vera,MALE,32,25,170.18,172.72,135,135,172.72,177.8,0,-112.36842105,-355,0,0
Thiago Santos,Anthony Smith,MALE,34,29,187.96,193.04,205,205,193.04,193.04,0,175.78431373,470,0,0
Sergio Moraes,Tim Means,MALE,35,33,182.88,187.96,170,170,182.88,190.5,0,-124.2195122,-378,0,0
Alan Patrick,Damir Hadzovic,MALE,34,31,180.34,175.26,155,155,187.96,177.8,0,158.33333333000004,440,0,0
Maia Stevenson,Polyana Viana,FEMALE,35,25,162.56,165.1,115,115,157.48,170.18,0,-327.27272727,-790,0,0
