R_fighter,B_fighter,gender,R_age,B_age,R_Height_cms,B_Height_cms,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,sig_str_landed_bout_diff,ev_diff,odds_diff,tot_str_landed_bout_diff,sig_str_pct_bout_diff
Amir Sadollah,Jorge Lopez,MALE,31,23,177.8,177.8,170,170,187.96,183,-4,0,0,-38,0.09000000000000002
Donald Cerrone,Jeremy Stephens,MALE,29,25,185.42,172.72,155,145,185.42,180.34,-41,154.54545455,420,-37,-0.04999999999999999
Yves Jabouin,Jeff Hougland,MALE,32,33,170.18,170.18,135,135,172.72,172.72,-32,242.21311475,580,-58,-0.19
Igor Pokrajac,Fabio Maldonado,MALE,33,32,182.88,185.42,205,205,193.04,190.5,62,-58.57142857,-270,102,0.25999999999999995
Jason MacDonald,Tom Lawlor,MALE,36,29,190.5,182.88,185,205,203.2,187.96,4,-154.54545455,-420,4,0.33
Brad Tavares,Dongi Yang,MALE,24,27,185.42,177.8,185,185,187.96,180.34,-7,87.5,310,-3,0.14
Cody McKenzie,Marcus LeVesseur,MALE,24,29,182.88,175.26,155,155,182.88,177.8,6,-115.94594595,-355,-2,0.36
TJ Grant,Carlo Prater,MALE,28,30,177.8,180.34,155,155,182.88,182.88,-41,356.74418605,810,-83,-0.15999999999999998
Rafael Dos Anjos,Kamal Shalorus,MALE,27,39,172.72,172.72,170,155,177.8,172.72,-3,300.60273973,693,-9,-0.34
Jeff Curran,Johnny Eduardo,MALE,34,33,167.64,170.18,135,135,175.26,180.34,20,-26.66666667,-230,20,0.13
Alex Soto,Francisco Rivera,MALE,28,30,172.72,172.72,135,135,180.34,172.72,27,-172.44680850999995,-450,32,0.16
Nate Diaz,Jim Miller,MALE,27,28,182.88,172.72,170,155,193.04,180.34,0,-87.5,-310,0,0
Josh Koscheck,Johny Hendricks,MALE,34,28,177.8,175.26,170,185,185.42,175.26,0,-47.81203008,-256,0,0
Rousimar Palhares,Alan Belcher,MALE,32,28,172.72,187.96,170,185,180.34,185.42,0,142.38095238,400,0,0
Pat Barry,Lavar Johnson,MALE,32,34,180.34,193.04,235,240,187.96,208.28,0,73.33333333,290,0,0
Tony Ferguson,Michael Johnson,MALE,28,25,180.34,177.8,155,145,193.04,185.42,0,253.25396825,600,0,0
John Dodson,Tim Elliott,MALE,27,25,160.02,170.18,135,135,167.64,167.64,0,420.39215686,950,0,0
John Hathaway,Pascal Krauss,MALE,24,25,185.42,185.42,170,170,190.5,182.88,0,115.94594595,355,0,0
Louis Gaudinot,John Lineker,MALE,27,21,160.02,160.02,125,135,160.02,170.18,0,-207.26415094,-510,0,0
Danny Castillo,John Cholish,MALE,32,28,175.26,180.34,155,155,180.34,182.88,0,-73.33333333,-290,0,0
Dennis Bermudez,Pablo Garza,MALE,25,28,167.64,185.42,155,145,167.64,185.42,0,9.090909089999997,210,0,0
Roland Delorme,Nick Denis,MALE,28,28,175.26,170.18,135,135,180.34,178,0,-204.28571429,-520,0,0
Mike Massenzio,Karlos Vemola,MALE,29,26,187.96,182.88,185,185,185.42,190.5,0,33.07692308,240,0,0
Jon Jones,Rashad Evans,MALE,24,32,193.04,182.88,205,205,213.36,190.5,-60,420.39215686,950,-67,-0.2
Rory MacDonald,Che Mills,MALE,22,29,182.88,185.42,170,170,193.04,193.04,-41,524.84848485,1200,-54,-0.41
Brendan Schaub,Ben Rothwell,MALE,29,30,193.04,193.04,245,265,198.12,198.12,-1,148.48837208999996,410,-1,-0.05000000000000005
Miguel Torres,Michael McDonald,MALE,31,21,175.26,175.26,135,135,193.04,177.8,8,0,0,8,0
Mark Hominick,Eddie Yagin,MALE,29,33,172.72,170.18,145,145,172.72,175,-26,402.16666667,903,-16,-0.23000000000000004
Travis Browne,Chad Griggs,MALE,29,33,198.12,185.42,255,205,200.66,185.42,-4,236.66666667,570,-1,-0.5
Matt Brown,Stephen Thompson,MALE,31,29,182.88,182.88,170,170,190.5,190.5,31,-154.54545455,-420,-13,0.03999999999999998
John Makdessi,Anthony Njokuani,MALE,26,32,172.72,185.42,155,155,172.72,190.5,34,-154.54545455,-420,30,0.14999999999999994
Mac Danzig,Efrain Escudero,MALE,32,26,172.72,175.26,155,155,177.8,177.8,-11,50.92592593000001,260,-23,-0.14000000000000007
Keith Wisniewski,Chris Clements,MALE,30,36,182.88,177.8,170,170,190.5,177.8,40,-66.03448276,-280,42,-0.04999999999999993
Marcus Brimage,Maximo Blanco,MALE,27,28,162.56,172.72,135,145,180.34,180.34,-6,-172.44680850999995,-450,-6,0.06
Alexander Gustafsson,Thiago Silva,MALE,25,29,195.58,187.96,205,205,200.66,187.96,-38,201.53846154,500,-40,0.08999999999999997
Brian Stann,Alessio Sakara,MALE,31,30,185.42,182.88,205,185,187.96,182.88,-11,313.68421053,720,-15,-0.040000000000000036
