index,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout,level_0
2077,Fabricio Werdum,Travis Browne,-265,225,37.73584906,225.0,9/10/2016,"Cleveland, Ohio, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,21.92857143,0.480714286,0.14285714300000002,0.7142857140000001,0.34428571399999996,3,5,24,0,0,0,1,7,1,0,9,Orthodox,198.12,200.66,255,1,0,0,45.18181818,0.584545455,0.181818182,0.545454545,0.150909091,6,3,24,3,0,0,2,4,2,0,8,Orthodox,193.04,195.58,231,39,34,0,0,-3,1,-2,0,-3,3,-1,5.08,5.08,5,-23.25324675,-0.038961038999999996,0.16883116899999998,0,1,6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,U-DEC,0,3.0,5:00,900.0,1.0,0.0,84.0,37.0,142.0,143.0,0.59,0.25,107.0,38.0,166.0,144.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2077
2078,CM Punk,Mickey Gall,345,-430,345.0,23.25581395,9/10/2016,"Cleveland, Ohio, USA", USA,Blue,False,Welterweight,MALE,3,0,1,0,2.0,0.5,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,Switch,187.96,187.96,170,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,37,24,0,1,1,1,0,1,0,0,1,2.54,2.54,13,2.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,Rear Naked Choke,1.0,2:14,134.0,0.0,0.0,0.0,20.0,1.0,32.0,0.0,0.62,6.0,26.0,8.0,39.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2078
2079,Urijah Faber,Jimmie Rivera,150,-170,150.0,58.82352941,9/10/2016,"Cleveland, Ohio, USA", USA,Blue,False,Bantamweight,MALE,3,0,3,0,52.0,0.46666666700000003,0.0,1.0,0.166666667,3,0,7,0,0,1,1,1,0,0,3,Orthodox,162.56,172.72,135,1,0,0,42.28571429,0.468571429,0.571428571,1.5,0.29,4,5,44,4,0,0,3,0,6,0,9,Orthodox,167.64,170.18,135,37,27,1,3,-1,-6,5,-37,-4,1,-6,-5.08,2.54,10,9.71428571,-0.571428571,-0.5,0,1,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,Red,U-DEC,0,3.0,5:00,900.0,0.0,0.0,22.0,54.0,112.0,160.0,0.19,0.33,23.0,55.0,113.0,162.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2079
2080,Jessica Andrade,Joanne Calderwood,-130,110,76.92307692,110.0,9/10/2016,"Cleveland, Ohio, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,2,0,81.25,0.53,0.0,2.0,0.4375,2,1,10,0,0,0,2,1,0,0,3,Orthodox,167.64,165.1,125,0,1,0,64.375,0.57375,0.5,1.625,0.5525,3,3,17,0,0,1,2,1,1,0,5,Orthodox,154.94,157.48,115,24,30,0,1,-1,-2,2,-7,0,0,-1,12.7,7.62,-6,16.875,-0.5,0.375,0,1,7,6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,SUB,Guillotine Choke,1.0,4:38,278.0,0.0,0.0,20.0,13.0,28.0,26.0,0.71,0.5,44.0,23.0,58.0,36.0,2.0,0.0,3.0,0.0,0.66,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2080
2081,Jessica Eye,Bethe Correia,-125,105,80.0,105.0,9/10/2016,"Cleveland, Ohio, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3,2,0,0,59.8,0.542,0.0,0.2,0.05,3,2,12,1,0,1,1,1,0,0,3,Orthodox,165.1,162.56,135,3,0,0,48.0,0.418333333,0.166666667,0.166666667,0.166666667,1,5,17,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,30,33,1,0,2,2,3,-5,1,0,0,-2.54,-5.08,-3,11.8,-0.166666667,0.033333333,0,1,11,10,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,S-DEC,0,3.0,5:00,900.0,0.0,0.0,52.0,49.0,199.0,150.0,0.26,0.32,63.0,69.0,210.0,170.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2081
2082,Brad Tavares,Caio Magalhaes,-220,180,45.45454545,180.0,9/10/2016,"Cleveland, Ohio, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,17.16666667,0.485,0.833333333,0.5,0.105,4,2,11,0,0,0,1,2,1,0,4,Orthodox,185.42,185.42,185,1,0,0,38.58333333,0.41333333299999997,0.0,1.166666667,0.253333333,5,4,31,0,0,1,6,1,0,0,8,Orthodox,185.42,187.96,185,28,28,0,0,-1,-4,2,-20,0,1,1,0.0,-2.54,0,-21.41666666,0.833333333,-0.666666667,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,46.0,26.0,100.0,81.0,0.46,0.32,58.0,39.0,112.0,95.0,0.0,1.0,0.0,7.0,0.0,0.14,0.0,1.0,0.0,0.0,0.0,0.0,2082
2083,Nik Lentz,Michael McBride,-550,425,18.18181818,425.0,9/10/2016,"Cleveland, Ohio, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,155,0,1,0,42.125,0.518125,1.1875,3.375,0.34,4,6,44,0,0,2,6,1,1,0,10,Orthodox,172.72,172.72,155,32,30,0,-1,-4,-10,6,-44,0,-1,-1,12.7,17.78,2,-42.125,-1.1875,-3.375,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,2.0,4:17,557.0,0.0,0.0,38.0,16.0,50.0,31.0,0.76,0.51,80.0,42.0,97.0,65.0,5.0,0.0,6.0,1.0,0.83,0.0,1.0,0.0,8.0,1.0,0.0,0.0,2083
2084,Drew Dober,Jason Gonzalez,-150,130,66.66666667,130.0,9/10/2016,"Cleveland, Ohio, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,187.96,187.96,155,0,1,0,28.83333333,0.291666667,0.166666667,0.833333333,0.058333333,1,4,13,0,0,0,1,0,1,0,2,Southpaw,172.72,177.8,155,27,26,0,-1,-1,-2,4,-13,0,0,-1,15.24,10.16,1,-28.83333333,-0.166666667,-0.833333333,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,1.0,1:45,105.0,1.0,0.0,20.0,10.0,41.0,30.0,0.48,0.33,23.0,10.0,45.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084
2085,Yancy Medeiros,Sean Spencer,-130,110,76.92307692,110.0,9/10/2016,"Cleveland, Ohio, USA", USA,Red,False,Welterweight,MALE,3,2,0,0,62.71428571,0.312857143,0.0,0.14285714300000002,0.071428571,2,4,21,0,0,1,2,0,0,0,3,Orthodox,177.8,190.5,170,1,0,0,28.625,0.3575,0.375,0.0,0.0,2,5,13,0,0,1,0,0,2,0,3,Orthodox,177.8,190.5,155,29,29,-1,0,0,0,1,8,0,0,-2,0.0,0.0,0,34.08928571,-0.375,0.14285714300000002,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,Rear Naked Choke,2.0,0:49,349.0,2.0,0.0,17.0,17.0,57.0,89.0,0.29,0.19,17.0,18.0,57.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2085
2086,Andrei Arlovski,Josh Barnett,110,-130,110.0,76.92307692,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Blue,False,Heavyweight,MALE,5,1,0,0,37.66666667,0.6333333329999999,0.444444444,0.444444444,0.333333333,4,3,18,1,0,0,1,4,1,0,6,Orthodox,190.5,198.12,250,2,0,0,21.45,0.456,0.25,0.1,0.1,7,6,37,5,0,1,2,9,2,0,14,Orthodox,190.5,195.58,240,37,38,1,0,-3,-8,3,-19,-4,-5,-1,0.0,2.54,-1,16.21666667,0.194444444,0.34444444399999996,0,1,9,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,SUB,Rear Naked Choke,3.0,2:53,773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086
2087,Alexander Gustafsson,Jan Blachowicz,-700,500,14.28571429,500.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Light Heavyweight,MALE,3,0,1,0,43.75,0.54,0.25,1.25,0.5,1,2,10,0,0,0,1,1,0,0,2,Orthodox,187.96,198.12,205,2,0,0,41.16666667,0.3825,0.41666666700000005,1.083333333,0.285,6,4,27,2,0,0,2,4,2,0,8,Orthodox,195.58,200.66,205,29,33,2,1,-5,-6,2,-17,-2,-3,-2,-7.62,-2.54,-4,2.58333333,-0.166666667,0.166666667,0,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2087
2088,Ryan Bader,Ilir Latifi,-170,150,58.82352941,150.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Light Heavyweight,MALE,3,0,3,0,10.71428571,0.42714285700000004,0.28571428600000004,0.857142857,0.368571429,3,2,11,0,0,0,1,3,1,0,5,Orthodox,177.8,185.42,205,1,0,0,26.55555556,0.371111111,0.27777777800000003,2.277777778,0.271111111,5,5,42,1,0,1,8,3,1,0,13,Orthodox,187.96,187.96,205,33,33,1,3,-2,-8,3,-31,-1,0,0,-10.16,-2.54,0,-15.84126985,0.007936508,-1.420634921,0,1,12,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Knee,2.0,2:06,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088
2089,Nick Hein,Tae Hyun Bang,-335,275,29.85074627,275.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Lightweight,MALE,3,0,1,0,31.5,0.385,0.5,0.5,0.5,1,2,10,0,0,1,0,1,0,0,2,Switch,175.26,180.34,155,0,2,0,43.75,0.3975,0.0,0.75,0.165,2,1,12,0,0,0,3,0,0,0,3,Southpaw,167.64,167.64,155,32,33,0,-1,-1,-1,-1,-2,0,1,0,7.62,12.7,-1,-12.25,0.5,-0.25,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089
2090,Jessin Ayari,Jimmy Wallhead,110,-130,110.0,76.92307692,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,170,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,24,32,0,0,0,0,0,0,0,0,0,-5.08,0.0,-8,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090
2091,Peter Sobotta,Nicolas Dalby,170,-200,170.0,50.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Welterweight,MALE,3,2,0,0,60.66666667,0.386666667,0.0,2.666666667,0.36666666700000006,1,2,9,0,0,1,0,0,0,0,1,Orthodox,180.34,187.96,170,1,0,0,20.33333333,0.371666667,0.5,1.333333333,0.34,2,4,14,0,0,0,1,0,1,0,2,Southpaw,182.88,190.5,170,29,31,-1,0,-1,-1,2,-5,0,0,-1,-2.54,-2.54,-2,40.33333334,-0.5,1.333333334,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2091
2092,Ashlee Evans-Smith,Veronica Macedo,-240,200,41.66666667,200.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,162.56,162.56,125,0,1,0,33.0,0.465,0.0,1.0,0.5,1,1,4,0,0,1,0,0,0,0,1,Orthodox,172.72,170.18,125,29,20,0,-1,-1,-1,1,-4,0,0,0,-10.16,-7.62,9,-33.0,0.0,-1.0,0,1,0,13,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Elbows,3.0,2:46,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092
2093,Taylor Lapilus,Leandro Issa,-160,140,62.5,140.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Bantamweight,MALE,3,1,0,0,28.0,0.44,1.25,1.75,0.3025,2,2,10,0,0,0,0,0,2,0,2,Orthodox,170.18,175.26,135,1,0,0,43.66666667,0.436666667,0.666666667,0.666666667,0.22,2,1,8,0,0,0,1,1,0,0,2,Southpaw,167.64,185.42,135,24,32,0,0,0,0,-1,2,0,-1,2,2.54,-10.16,-8,-15.66666667,0.583333333,1.083333333,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093
2094,Scott Askham,Jack Hermansson,-105,-115,95.23809524,86.95652174,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Blue,False,Middleweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,185,0,1,0,20.5,0.6475,0.25,0.25,0.125,1,2,8,0,0,0,0,2,0,0,2,Southpaw,190.5,190.5,185,28,28,0,-1,-1,-2,2,-8,0,-2,0,-5.08,5.08,0,-20.5,-0.25,-0.25,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094
2095,Rustam Khabilov,Leandro Silva,-450,360,22.22222222,360.0,9/3/2016,"Hamburg, Hamburg, Germany", Germany,Red,False,Lightweight,MALE,3,1,0,0,30.71428571,0.525714286,0.428571429,1.714285714,0.43285714299999994,2,4,18,0,0,0,2,0,1,0,3,Orthodox,175.26,182.88,155,0,2,0,23.85714286,0.38285714299999996,0.14285714300000002,3.714285714,0.492857143,3,2,18,0,0,0,3,1,0,1,5,Orthodox,172.72,185.42,155,29,30,-1,-2,-1,-2,-2,0,0,-2,1,2.54,-2.54,-1,6.85714285,0.28571428600000004,-2.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,0,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2095
2096,Demian Maia,Carlos Condit,115,-135,115.0,74.07407407,8/27/2016,"Vancouver, British Columbia, Canada", Canada,Red,False,Welterweight,MALE,5,1,0,0,63.41666667,0.378333333,0.75,0.5,0.15916666699999998,5,5,37,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,0,5,0,22.17391304,0.5313043479999999,1.0,2.3913043480000002,0.382608696,5,6,61,1,0,0,8,1,8,0,17,Southpaw,185.42,182.88,170,38,32,-1,-5,0,-10,1,-24,2,4,-8,2.54,7.62,6,41.24275363,-0.25,-1.891304348,0,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Red,SUB,Rear Naked Choke,1.0,1:52,112.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.16,5.0,1.0,5.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2096
2097,Anthony Pettis,Charles Oliveira,-165,145,60.60606061,145.0,8/27/2016,"Vancouver, British Columbia, Canada", Canada,Red,False,Featherweight,MALE,3,0,1,0,22.66666667,0.5093333329999999,1.333333333,1.066666667,0.36466666700000006,4,6,28,0,0,0,1,0,8,0,9,Orthodox,177.8,187.96,155,3,0,0,28.77777778,0.452222222,0.333333333,0.666666667,0.073333333,5,4,22,3,0,1,0,2,2,0,5,Orthodox,177.8,182.88,170,29,26,3,1,-1,4,-2,6,-3,-2,6,0.0,5.08,3,-6.11111111,1.0,0.4,0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Blue,SUB,Guillotine Choke,3.0,1:49,709.0,0.0,0.0,53.0,41.0,87.0,86.0,0.6,0.47,77.0,60.0,114.0,105.0,0.0,4.0,0.0,11.0,0.0,0.36,1.0,0.0,2.0,6.0,5.0,0.0,2097
2098,Paige VanZant,Bec Rawlings,-210,175,47.61904762,175.0,8/27/2016,"Vancouver, British Columbia, Canada", Canada,Red,False,Women's Strawweight,FEMALE,3,0,2,0,55.66666667,0.5066666670000001,0.333333333,0.333333333,0.11,2,1,7,0,0,0,1,0,1,0,2,Orthodox,167.64,162.56,125,1,0,0,52.75,0.51,1.0,2.0,0.33,3,1,14,0,0,0,1,1,1,0,3,Orthodox,162.56,165.1,115,22,27,1,2,-1,-1,0,-7,0,-1,0,5.08,-2.54,-5,2.91666667,-0.666666667,-1.6666666669999999,0,1,0,10,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Kick,2.0,0:17,317.0,1.0,0.0,25.0,21.0,63.0,51.0,0.39,0.41,27.0,30.0,65.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2098
2099,Joe Lauzon,Jim Miller,-140,120,71.42857143,120.0,8/27/2016,"Vancouver, British Columbia, Canada", Canada,Blue,False,Lightweight,MALE,3,0,1,0,26.04347826,0.35608695700000004,1.52173913,1.173913043,0.443043478,7,8,53,0,0,1,5,3,6,0,15,Southpaw,172.72,180.34,155,0,1,0,19.57142857,0.435714286,1.2380952379999999,1.142857143,0.380952381,3,8,40,0,0,0,1,4,7,1,13,Orthodox,177.8,180.34,155,32,32,0,0,4,2,0,13,0,-2,-1,-5.08,0.0,0,6.47204969,0.283643892,0.0310559,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,0,3.0,5:00,900.0,0.0,0.0,54.0,80.0,136.0,166.0,0.39,0.48,92.0,97.0,177.0,185.0,3.0,0.0,4.0,3.0,0.75,0.0,1.0,0.0,10.0,0.0,0.0,0.0,2099
2100,Sam Alvey,Kevin Casey,-270,230,37.03703704,230.0,8/27/2016,"Vancouver, British Columbia, Canada", Canada,Red,False,Middleweight,MALE,3,3,0,0,24.16666667,0.493333333,0.333333333,0.5,0.11,1,5,13,0,0,0,1,0,0,0,1,Southpaw,180.34,195.58,185,0,1,0,19.42857143,0.554285714,0.14285714300000002,0.0,0.0,3,3,11,0,0,0,0,3,1,0,4,Southpaw,187.96,190.5,205,30,35,-3,-1,-2,-3,-2,2,0,-3,-1,-7.62,5.08,-5,4.73809524,0.19047619,0.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,2.0,4:56,596.0,2.0,0.0,59.0,25.0,114.0,51.0,0.51,0.49,70.0,31.0,125.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2100
